,oxidative exp flux,maximum,minimum
r_0534,1.56,1.5602653762124064,1.5599843999999967
r_0962,-1.9391,-0.8304632628304451,-0.8294809521354158
r_0961,0.3401,0.25558785822258395,0.25455734443271716
r_2131,1.1404,0.11315409464499745,0.11011283350523038
r_0713,0.989,1000.0,0.14988345832149058
r_0300,-1.1404,-0.15127705944264316,-0.1504498405653442
r_1022,-0.989,-0.000729784430076097,-0.0
r_0454,0.989,-6.037228780531654,-0.0
r_1054,-0.9095,-0.9713553062164267,-0.9695306967734805
r_0486,2.092,1.9128866146964385,1.91106200559405
r_0450,0.9391,0.9727716075375545,-0.0003650400001515841
r_0452,-0.989,-0.056021477733224856,-0.05483649406017224
r_0302,1.1404,1000.0,-999.8494539072641
r_0892,-2.092,-1.9128866159761098,-1.9110620055935525
r_0893,-2.0077,-0.9085734555567404,-0.9075911451346627
r_0889,0.8533,0.022529764798651986,0.017054607443320657
r_1049,-0.2917,-0.005442646523885692,-0.003618185282736164
r_1048,0.2917,0.005442646459495472,-0.9691534220355188
r_1050,-0.2543,-0.03361244997214103,-0.03543691121329051
r_0466,0.8533,0.022529763808877945,0.017054607740683264
r_0467,0.3931,1.12403596066625,1.1185621378595385
r_0886,0.9391,0.9727716071421555,0.0
r_0959,1.1435,0.02717630799237934,0.026661259707859368
r_2116,1.1482,0.000810871613025909,0.0
r_0112,1.1482,0.035830029197070346,0.03526715046915735
r_0366,2.0077,0.9085734557712226,0.9075911451267813
r_0832,0.989,0.000730966502581738,0.0
r_0091,0.8533,0.022529764220271198,0.01705460773794399
r_0718,0.1123,0.0018244612157362894,0.0
r_0958,0.3713,0.3212162995145642,0.3137562125005702
r_2034,0.4212,0.4260690432796722,0.0
r_1239,0.2621,0.000663440364480631,0.0
r_4041,0.15,0.147768053333221,0.147768053333221
