,oxidative exp flux,Sim Flux
r_0534,1.56,1.56
r_0962,-1.9391,-0.8297552943058166
r_0961,0.3401,0.2549562453619676
r_2131,1.1404,0.11132963352567697
r_0713,0.989,0.15054727488031452
r_0300,-1.1404,-0.15054727488031452
r_1022,-0.989,-0.0
r_0454,0.989,-0.0
r_1054,-0.9095,-0.9697425867487126
r_0486,2.092,1.911273895568534
r_0450,0.9391,0.9659279841850065
r_0452,-0.989,-0.05550020315143564
r_0302,1.1404,0.11132963352567697
r_0892,-2.092,-1.911273895568534
r_0893,-2.0077,-0.9078654872977584
r_0889,0.8533,0.02189453782258389
r_1049,-0.2917,-0.0052309042080611046
r_1048,0.2917,0.0
r_1050,-0.2543,-0.03382419228790977
r_0466,0.8533,0.02189453782258389
r_0467,0.3931,1.1191978077830618
r_0886,0.9391,0.9659279841850065
r_0959,1.1435,0.02680004101316418
r_2116,1.1482,0.000678486375952643
r_0112,1.1482,0.03526715046915787
r_0366,2.0077,0.9078654872977584
r_0832,0.989,1.1821444266657851e-06
r_0091,0.8533,0.02189453782258389
r_0718,0.1123,0.0
r_0958,0.3713,0.3139184525010994
r_2034,0.4212,0.4254374306369338
r_1239,0.2621,0.0
r_4041,0.15,0.14776805333322315
