,respiro-fermentative exp flux,Sim Flux
r_0534,4.9,4.9
r_0962,-7.5068,-4.277402968612808
r_0961,2.4255,0.5660521362912979
r_2131,2.6656,0.24726965992463307
r_0713,2.3128,0.33437172094166284
r_0300,-2.6656,-0.33437172094166284
r_1022,-2.3128,-0.0
r_0454,2.3128,-11.04828972722134
r_1054,-3.5819,-3.605342169166723
r_0486,7.8302,7.131686852975391
r_0450,3.8563,3.6083589646745753
r_0452,-2.3128,-0.12326921345595804
r_0302,2.6656,1000.0
r_0892,-7.8302,-7.131686852975391
r_0893,-7.6881,-4.4508902985006795
r_0889,1.4504,0.0
r_1049,-0.4998,0.0045915394346771055
r_1048,0.4998,-0.0045915394346771055
r_1050,-0.4165,-0.09133520437861256
r_0466,1.4504,0.0
r_0467,2.94,3.9695814765434636
r_0886,3.8563,3.6083589646745753
r_0959,4.0621,2.494212824777378
r_2116,1.6758,0.0
r_0112,0.9555,0.07901557960685145
r_0366,7.6881,4.4508902985006795
r_0832,2.3128,0.0
r_0091,1.4504,0.0
r_0718,0.7105,0.0
r_0958,1.3426,0.6972313348728587
r_2034,2.0972,0.9447008695305634
r_1239,1.0633,0.0
r_4041,0.3,0.3282015321374781
