,HXK2 exp flux,maximum,minimum
r_0534,1.5,1.500052662278573,1.4999637946666646
r_0962,-2.5154,-1.8363552011434325,-1.8361769193856614
r_0961,0.7154,0.12967216417226268,0.12953373798177345
r_2131,0.701,0.05680320961519867,0.05596531471868599
r_0300,0.0,-0.07661426031682206,-0.07654327718779808
r_1022,-0.6462,-7.241069039132242e-05,-0.0
r_0454,0.6462,-2.129538417945371,-0.0
r_1054,-1.2779,-1.2023620249010958,-1.202101346437202
r_0486,2.5413,2.3878379631221405,2.3875772847640677
r_0450,1.2779,1.2030527764334074,-7.241066665719664e-05
r_0452,-0.6462,-0.028277990338551717,-0.02802426878260557
r_0302,0.701,1000.0,-999.9234393442522
r_0892,-2.5413,-2.387837963143056,-2.387577284763231
r_0893,-2.5413,-1.8760783682764828,-1.8759000864722533
r_0889,0.4125,0.004387628482926946,0.0036055931425948984
r_1049,-0.1356,-0.00041122405652359046,-0.00015054564132799264
r_1048,0.1356,0.0004112240565235896,-1.2029022309187982
r_1050,0.124,-0.01945035948691736,-0.019711037902112594
r_0466,0.4125,0.004387628379397823,0.0036055932679698727
r_0467,1.0183,1.2833576942384504,1.282575658753026
r_0886,1.2779,1.2030527766157773,0.0
r_0959,1.601,1.4280599389739785,1.4277615193010433
r_2116,0.1817,0.00011333845042115768,0.0
r_2115,1.4221,1000.0,0.0
r_0112,0.101,0.01818854132492291,0.017991833028269538
r_0366,2.5413,1.8760783682058253,1.8759000864720825
r_0832,0.6462,5.05466801562493e-05,0.0
r_0091,0.4125,0.004387267780401494,0.003605593268013102
r_0958,0.2365,0.1726726982190511,0.17149964543352503
r_2034,0.6548,0.20445142476459283,0.0
r_1239,0.101,0.00020052186839399078,0.0
