,glucose exp flux,maximum,minimum
r_0534,16.3,16.300329693885157,16.299773099998532
r_0723,0.0,-0.3806510056519983,-0.3806933543726743
r_0962,-28.199,-27.250906966344886,-27.249790353400996
r_0961,0.163,0.8126592514838628,0.8117921433365204
r_2131,0.326,0.35598634841172383,0.3507364454345827
r_0713,0.0,1000.0,0.4785514394386534
r_0300,-0.326,-0.48014371180623716,-0.47969920436831803
r_1054,-15.159,-14.045990719609538,-14.044357981415354
r_0486,28.199,28.3748582089381,28.373225470818234
r_0450,28.199,14.050319683117134,-0.00045380000265843323
r_0892,-28.199,-28.37485820899017,-28.37322547073152
r_0889,1.141,1.193599591094312,1.1887008112213664
r_1049,-0.326,-0.39127788132423524,-0.38964495488037443
r_1048,0.326,0.39127788132423524,-13.66067567010321
r_1050,-0.326,0.2668046921248358,0.2651717656809751
r_0466,1.141,1.1935995909897357,1.1887008114458943
r_0467,14.507,13.776188363955262,13.771290149810259
r_0886,15.159,14.050319683102991,0.0
r_2116,1.467,0.0007095584736215399,0.0
r_0112,0.652,0.11398817914222495,0.11275540198420055
r_0091,1.141,1.1935995907564525,1.1887008114448605
r_0958,0.978,1.0821411700419419,1.0747938484348676
r_2034,0.978,1.281300327653351,0.0
r_4041,0.33,0.4709541778257268,0.4709541778257268
