,ethanol exp flux,Sim Flux
r_0962,-0.3079,-0.0
r_0961,0.03,0.0
r_2131,0.1089,0.0
r_0713,4.0837,4.445185943716699
r_0300,-0.8712,-2.755178393563015
r_1022,-0.2272,-0.0
r_0454,2.2813,-9.205401663332296
r_1054,-0.5576,0.668108048513059
r_0486,1.104,-1.3769121745097206
r_0450,0.5576,-0.6664848775045819
r_0452,-2.2813,-2.356481070917221
r_0302,2.4765,0.0
r_0892,-1.104,1.3769121745097206
r_0893,-1.2092,1.3769121745097206
r_0889,0.1934,0.0
r_1049,-0.0638,0.002369227605767618
r_1048,-0.0638,-0.002369227605767618
r_1050,-0.0526,-0.047128831337231
r_0466,0.1934,0.0
r_0467,0.6327,-0.48009459182113345
r_0886,1.1059,0.0
r_0959,0.0225,0.0
r_0163,5.0,5.0
r_2116,0.9369,0.0
r_0112,4.9775,4.719936457478118
r_0958,0.2422,0.0
r_0716,2.056,2.0944728065468503
r_0714,2.668,0.0
r_0662,2.056,2.2928743377900638
r_0366,1.2092,-1.3769121745097206
r_0832,0.2272,0.28976873877857007
r_0884,1.6222,1.4664313819726473
r_0091,0.1934,0.0
r_0984,0.1033,-0.04949805894299862
r_0982,0.1164,0.04916274295590707
r_0718,0.3042,0.2955353177138735
r_2034,0.03,0.0
