,WT Real Flux,fluxes
r_0534,1.5,1.5
r_0962,-1.8315,-0.7978416259105112
r_0718,0.1005,0.0
r_2131,0.8985,0.10704772411058644
r_0713,0.2745,0.14475699449124294
r_0300,-0.8985,-0.14475699449124294
r_1022,-0.7365,-0.0
r_0454,0.7365,-0.0
r_0366,1.9065,0.8729475804064231
r_1054,-0.9045,-0.93244479967624
r_0486,1.9065,1.8377633682564427
r_0450,0.9045,0.9287769150386664
r_0452,-0.7365,-0.05336557973727393
r_0302,0.8985,0.10704772411058644
r_0892,-1.9065,-1.8377633682564427
r_0893,-1.9065,-0.8729475804064231
r_0889,0.663,0.021052432844603883
r_1049,-0.1815,-0.005029713136248226
r_1048,0.1815,0.0
r_1050,-0.4005,-0.03252326411170771
r_0466,0.663,0.021052432844603883
r_0467,0.504,1.0761517472528979
r_0886,0.9045,0.9287769150386664
r_0958,0.4095,0.30184466464456156
r_0091,0.663,0.021052432844603883
r_0832,0.7365,1.1366773287311673e-06
r_1239,0.537,0.0
r_4041,0.1,0.14208466609139592
