,ADH3_maximum,ADH3_minimum,ADH3_real_flux
r_0534,14.40033481618215,14.399769813850497,14.4
r_0962,-22.771729683212293,-22.770596203297185,-24.5210728
r_0961,0.8244291141895368,0.8235490285195515,21.21583653
r_0718,0.001183814295628527,0.0,0.114431673
r_2131,0.36114319556574515,0.35581603162274866,0.900127714
r_0713,1000.0,0.48548212290058756,0.099106003
r_0300,-0.48709780649107637,-0.4866465103931561,-0.900127714
r_1022,-0.000460372228981641,-0.0,-0.520051086
r_0454,-8.607366325343854,-0.0,0.213537676
r_0366,23.024281459341328,23.0231479799554,24.60076628
r_1054,-12.233689501838827,-12.23203216171791,-12.94201788
r_0486,24.63400980846526,24.632352468487095,24.60076628
r_0450,12.238081160069598,-0.0004603721936214944,12.94201788
r_0452,-0.17978568215266932,-0.17817257251886076,-0.213537676
r_0302,1000.0,-999.5132430002632,0.900127714
r_0892,-24.634009808354833,-24.632352468432455,-24.60076628
r_0893,-23.02428145913937,-23.02314797996186,-24.60076628
r_0889,0.8498629187431463,0.8448908988260224,1.808429119
r_1049,-0.27660356979872236,-0.27494622968844595,-0.594636015
r_1048,0.27660356979872236,-11.963134930396489,0.594636015
r_1050,0.15032768146892783,0.14867034135865076,0.485312899
r_0466,0.8498629189384007,0.8448908990983544,1.808429119
r_0467,12.200665227099725,12.195693206884975,11.86206897
r_0886,12.238081160001151,0.0,12.94201788
r_0959,20.1758718637796,20.173974572107703,21.21629539
r_2115,1000.0,0.0,20.06195746
r_2116,0.0007205826042445044,0.0,1.154337929
r_0112,0.11563966484809873,0.1143883966303631,0.541307687
r_2034,1.2998603663113677,0.0,1.672635047
r_1239,0.0012748769966015594,0.0,1.544426862
r_4041,0.4777748328787218,0.4777748328787218,0.3716
