,COX5A_real_flux,COX5A_sim_flux
r_0534,13.3,13.3
r_0962,-21.35787365,-21.05456285975707
r_0961,19.13027735,0.759227992309791
r_0718,0.229522342,0.0
r_2131,0.716232666,0.33165504628904013
r_0713,0.038936826,0.4484823112566808
r_0300,-0.716232666,-0.4484823112566808
r_1022,-0.452896764,-0.0
r_0454,0.268459168,-0.0
r_0366,21.50952234,21.287255978848435
r_1054,-12.3255547,-11.30068407910997
r_0486,21.50952234,22.75824324906477
r_0450,12.3255547,11.048056957901366
r_0452,-0.214152542,-0.16533713318099758
r_0302,0.716232666,0.33165504628904013
r_0892,-21.50952234,-22.75824324906477
r_0893,-21.50952234,-21.287255978848435
r_0889,1.145562404,0.7884958273474933
r_1049,-0.376047766,-0.25667345448836304
r_1048,0.376047766,0.0
r_1050,0.300223421,0.1403268949426803
r_0466,1.145562404,0.7884958273474933
r_0467,11.64825886,11.263562963208493
r_0886,12.3255547,11.048056957901366
r_0959,19.13147849,18.662825798784255
r_2115,18.55199942,18.58206850637348
r_2116,0.57947907,0.0
r_0112,0.374540887,0.10598112087073337
r_2034,1.101410254,1.1976497135947515
r_1239,0.786992284,0.0
r_4041,0.256,0.4402064303658035
