,DAL7_real_flux,DAL7_sim_flux
r_0534,14.3,14.3
r_0962,-24.67282388,-22.975512362349626
r_0961,21.66345522,0.7886798167803705
r_0718,0.045990352,0.0
r_2131,0.726847515,0.34452054427782614
r_0713,0.055988254,26.120177947902324
r_0300,-0.726847515,-0.46587974976407054
r_1022,-0.381919877,-0.0
r_0454,0.101978606,-0.0
r_0366,24.62683353,23.217232067615907
r_1054,-13.11124939,-12.196548103371041
r_0486,24.62683353,24.582635667334415
r_0450,13.11124939,12.200751401223645
r_0452,-0.208956163,-0.1717508590635788
r_0302,0.726847515,0.46587974976406926
r_0892,-24.62683353,-24.582635667334415
r_0893,-24.62683353,-23.217232067615907
r_0889,1.244738866,0.8988197092691314
r_1049,-0.407914424,-0.2932091829295082
r_1048,0.407914424,0.2932091829295082
r_1050,0.306935608,0.1723493302963673
r_0466,1.244738866,0.8988197092691314
r_0467,12.39639936,12.104829188840247
r_0886,13.11124939,12.200751401223645
r_0959,21.66403257,20.49099550293277
r_2115,20.36898686,0.0
r_2116,1.295045706,0.0
r_0112,0.495206652,0.11009231987906544
r_2034,1.489686519,0.0
r_1239,0.74261697,0.0
r_4041,0.35,0.4572828325128299
