,DAL7_maximum,DAL7_minimum,DAL7_real_flux
r_0534,14.300320120094135,14.299779917504647,14.3
r_0962,-22.976190359383054,-22.97510662864226,-24.67282388
r_0961,0.7890606551393375,0.7882191969612407,21.66345522
r_0718,0.0011318529151023715,0.0,0.045990352
r_2131,0.345648955658778,0.34055561701554465,0.726847515
r_0713,1000.0,0.4646561772644101,0.055988254
r_0300,-0.46620094608849527,-0.46576945618900534,-0.726847515
r_1022,-0.00044016512114930517,-0.0,-0.381919877
r_0454,-7.713055451705855,-0.0,0.101978606
r_0366,23.217907650064582,23.21682391926119,24.62683353
r_1054,-12.197453797204512,-12.195869202953352,-13.11124939
r_0486,24.583560480336832,24.58197588630207,24.62683353
r_0450,12.20165705312822,-0.00044016504975724624,13.11124939
r_0452,-0.17207252992032585,-0.17053022474431145,-0.208956163
r_0302,1000.0,-999.5341249041999,0.726847515
r_0892,-24.583560480445385,-24.581975886217112,-24.62683353
r_0893,-23.21790764991391,-23.216823919204757,-24.62683353
r_0889,0.9009104693029748,0.8961566867218934,1.244738866
r_1049,-0.2939061669162426,-0.2923215727767978,-0.407914424
r_1048,0.2939061669162426,-11.909335480255525,0.407914424
r_1050,0.1730475216277052,0.17146292748825864,0.306935608
r_0466,0.9009104696977347,0.8961566868724679,1.244738866
r_0467,12.107505161162212,12.102751378623584,12.39639936
r_0886,12.201657053035548,0.0,13.11124939
r_0959,20.4916949937223,20.4898809801349,21.66403257
r_2115,1000.0,0.0,20.36898686
r_2116,0.0006889538821433505,0.0,1.295045706
r_0112,0.11067810685352862,0.1094817607829819,0.495206652
r_2034,1.244092988593073,0.0,1.489686519
r_1239,0.0012189186124859086,0.0,0.74261697
r_4041,0.45727826442899416,0.45727826442899416,0.35
