,GLY1_maximum,GLY1_minimum,GLY1_real_flux
r_0534,13.100290662643147,13.099800169433067,13.1
r_0962,-21.135429804794907,-21.134445801912108,-22.86753505
r_0961,0.7157083765719747,0.7149443513381665,19.91448931
r_0718,0.0010276997791933973,0.0,0.084315378
r_2131,0.31351780998767004,0.30889315943034035,0.797984829
r_0713,1000.0,0.42145966943864427,0.054202743
r_0300,-0.42286228661310976,-0.42247050467963393,-0.797984829
r_1022,-0.00039966112748146543,-0.0,-0.479794652
r_0454,-6.864857254231821,-0.0,0.138518121
r_0366,21.354676576815148,21.353692573947146,22.84545246
r_1054,-11.185623819703803,-11.184185039687943,-12.04304651
r_0486,22.54964981976272,22.548211039738,22.84545246
r_0450,11.189436332718222,-0.0003996610863090666,12.04304651
r_0452,-0.15607663107877068,-0.15467624867976504,-0.209784691
r_0302,1000.0,-999.5774335766461,0.797984829
r_0892,-22.549649819760216,-22.548211039720975,-22.84545246
r_0893,-21.354676576846984,-21.353692573958366,-22.84545246
r_0889,0.8390250467670768,0.8347087063396698,1.021822083
r_1049,-0.27387240043525296,-0.27243362033898144,-0.334250249
r_1048,0.27387240043525296,-10.917002712294646,0.334250249
r_1050,0.16424901440028966,0.16281023430399255,0.241904835
r_0466,0.8390250466501358,0.8347087063088114,1.021822083
r_0467,11.089463306229952,11.085146966027319,11.46789518
r_0886,11.189436332493536,0.0,12.04304651
r_0959,18.881898053554607,18.88025096526394,19.91421387
r_2115,1000.0,0.0,18.75719149
r_2116,0.0006255566162384114,0.0,1.157022378
r_0112,0.10038980343635674,0.0993035450569213,0.454391511
r_2034,1.128442622953324,0.0,1.45823332
r_1239,0.0011067538841081914,0.0,0.790674845
r_4041,0.4147687704690632,0.4147687704690632,0.318
