,GPD1_real_flux,GPD1_sim_flux
r_0534,16.4,16.4
r_0962,-28.26898784,-26.821474553615655
r_0961,24.88500397,0.865966004328294
r_0718,0.0,0.0
r_2131,0.809431311,0.378281620487267
r_0713,0.009015943,0.5115333457468298
r_0300,-0.809431311,-0.5115333457468298
r_1022,-0.439777656,-0.0
r_0454,0.009015943,-0.0
r_0366,28.18684259,27.086881430884766
r_1054,-14.97848635,-14.050298893537086
r_0486,28.18684259,28.34883380009167
r_0450,14.97848635,13.692849305703698
r_0452,-0.209370228,-0.1885814775511968
r_0302,0.809431311,0.378281620487267
r_0892,-28.18684259,-28.34883380009167
r_0893,-28.18684259,-27.086881430884766
r_0889,1.639899823,1.107267240021482
r_1049,-0.538953027,-0.3620647852417349
r_1048,0.538953027,0.0
r_1050,0.438775884,0.22936134660717755
r_0466,1.639899823,1.107267240021482
r_0467,14.00175921,13.869346539073838
r_0886,14.97848635,13.692849305703698
r_0959,24.88597192,24.0934890116265
r_2115,23.97020537,24.001378248406912
r_2116,0.915766551,0.0
r_0112,0.515045924,0.12088074821300526
r_2034,1.673832061,1.3660243662461966
r_1239,0.937105837,0.0
r_4041,0.34,0.5020939789427071
