,LSC1_maximum,LSC1_minimum,LSC1_real_flux
r_0534,17.800400779565713,17.799724464127344,17.8
r_0962,-28.530126562221714,-28.528769767730754,-31.06065037
r_0961,0.987877834382811,0.9868243570530006,27.13509385
r_0718,0.0014170418144904828,0.0,0.0
r_2131,0.43274105630674087,0.4263643682303916,0.780838062
r_0713,1000.0,0.5817341615294875,0.002913575
r_0300,-0.5836681602532134,-0.5831279494676931,-0.780838062
r_1022,-0.0,-0.0,-0.37196639
r_0454,-9.761069624886325,-0.0,0.002913575
r_0366,28.83274861285665,28.831391818433485,30.42160629
r_1054,-15.173491680995147,-15.171507822528705,-16.34127019
r_0486,30.57736056867208,30.575376710044242,30.42160629
r_0450,15.178754018352054,-0.0005510717949886446,16.34127019
r_0452,-0.21542911430392486,-0.213498200259307,-0.202979048
r_0302,1000.0,-999.4167397933121,0.780838062
r_0892,-30.57736056866897,-30.57537671022028,-30.42160629
r_0893,-28.832748612864286,-28.831391818439755,-30.42160629
r_0889,1.1104802032985632,1.1045286278657256,1.628688346
r_1049,-0.362150831076541,-0.36016697253602636,-0.534155391
r_1048,0.362150831076541,-14.818587045794082,0.534155391
r_1050,0.21083980572556166,0.20885594718504824,0.415670013
r_0466,1.1104802033148768,1.1045286278606277,1.628688346
r_0467,15.07249889524903,15.06654731944747,15.39047359
r_0886,15.178754018323566,0.0,16.34127019
r_0959,25.41962056276027,25.41734947891257,27.13472592
r_2115,1000.0,0.0,25.29636408
r_2116,0.0008625473619215118,0.0,1.838361843
r_0112,0.1385653276952744,0.13706754274891803,0.770065103
r_2034,1.5575632594611273,0.0,1.548743271
r_1239,0.0015260449806133725,0.0,0.788324055
r_4041,0.5724972582329781,0.5724972582329781,0.423
