,PDA1_maximum,PDA1_minimum,PDA1_real_flux
r_0534,8.000263909079763,7.999818562512278,8.0
r_0962,-10.145046987179626,-10.144321237226649,-13.40648379
r_0961,0.0,0.0,11.08181926
r_0718,0.062255126227096724,0.0,0.021850137
r_2131,0.3468030452712039,0.2830964189472537,2.122313264
r_0713,1000.0,0.38429761299221554,0.462652892
r_0300,-0.3849433954217509,-0.38462865675442615,-2.122313264
r_1022,-0.0003628749805635323,-0.0,-1.963662273
r_0454,-10.71504412907206,-0.0,0.769504809
r_0366,10.34468918630268,10.34396343635219,13.49958437
r_1054,-6.510279420841515,-6.509936848465259,-7.543047144
r_0486,12.929540093583936,12.929050327797142,13.49958437
r_0450,6.5139946373271975,-0.00036287500565052033,7.543047144
r_0452,-0.1421435227736083,-0.14127262282715947,-0.198551241
r_0302,1000.0,-999.1550652264742,0.0
r_0892,-12.929540093565372,-12.929050327751781,2.122313264
r_0893,-10.34468918628965,-10.343963436366474,-13.49958437
r_0889,0.0006220713780916709,0.0,-13.49958437
r_1049,0.005076400642379651,0.005299796460359829,0.306851918
r_1048,-0.00492088273758641,-6.519278395144214,-0.098800618
r_1050,-0.10489750020744185,-0.10515490907619185,0.098800618
r_0466,0.00062207139557513,0.0,0.306851918
r_0467,6.929312012269636,6.928689940847633,7.3919962
r_0886,6.513994637226181,0.0,7.543047144
r_0959,8.744413819161423,8.742599444083794,11.08259006
r_2115,1000.0,0.0,8.041365862
r_2116,0.0014514998810277735,0.0,3.041224194
r_0112,0.7428016583516075,0.7415920750125136,2.376191152
r_2034,0.4362174737094018,0.0,0.322183273
r_1239,0.0004838332802064027,0.0,2.042938794
r_4041,0.3776810426224283,0.3776810426224283,0.17
