,PDA1_real_flux,PDA1_sim_flux
r_0534,8.0,9.966456021784
r_0962,-13.40648379,-12.862050966063341
r_0961,11.08181926,0.0
r_0718,0.021850137,0.1731565401826436
r_2131,2.122313264,0.4073374367522725
r_0713,0.462652892,0.5508242287886715
r_0300,-2.122313264,-0.5508242287886715
r_1022,-1.963662273,-0.0
r_0454,0.769504809,-0.0
r_0366,13.49958437,12.705524302193929
r_1054,-7.543047144,-7.068694539801671
r_0486,13.49958437,14.388807548094249
r_0450,7.543047144,10.613367402135461
r_0452,-0.198551241,-0.3636705308766318
r_0302,0.0,0.4073374367522725
r_0892,2.122313264,-14.388807548094249
r_0893,-13.49958437,-12.705524302193929
r_0889,-13.49958437,0.8892152641297468
r_1049,0.306851918,-0.28495043034310735
r_1048,-0.098800618,3.8263995597828533
r_1050,0.098800618,0.24376971766217165
r_0466,0.306851918,0.8892152641297468
r_0467,7.3919962,6.669077575903607
r_0886,7.543047144,13.893046457966756
r_0959,11.08259006,11.399414334573935
r_2115,8.041365862,23.655222413348003
r_2116,3.041224194,0.33686002258408587
r_0112,2.376191152,0.6697637737518791
r_2034,0.322183273,0.2938735285843138
r_1239,2.042938794,0.0
r_4041,0.17,0.15581049065809965
