,SDH1_real_flux,SDH1_sim_flux
r_0534,13.4,13.4
r_0962,-23.16295957,-21.74008040731192
r_0961,20.49176794,0.72185876043182
r_0718,0.0,0.0
r_2131,0.709791332,0.31533097176359004
r_0713,0.0,0.4264079941183859
r_0300,-0.709791332,-0.4264079941183859
r_1022,-0.409691967,-0.0
r_0454,0.0,-0.0
r_0366,23.33605442,21.96132036185744
r_1054,-12.4105939,-11.456576305658913
r_0486,23.33605442,23.10482048630455
r_0450,12.4105939,11.173869319038614
r_0452,-0.214064053,-0.15719923293169696
r_0302,0.0,0.31533097176359004
r_0892,0.709791332,-23.10482048630455
r_0893,-23.33605442,-21.96132036185744
r_0889,-23.33605442,0.8772285784646003
r_1049,0.936146144,-0.2865541592156271
r_1048,-0.306244745,0.0
r_1050,0.306244745,0.17593418194286503
r_0466,0.936146144,0.8772285784646003
r_0467,11.88516395,11.336253927889725
r_0886,12.4105939,11.173869319038614
r_0959,20.49186441,19.46606473929079
r_2115,19.34656322,19.389282324013767
r_2116,1.145301192,0.0
r_0112,0.428345233,0.10076472590028931
r_2034,1.412618456,1.1387013471894876
r_1239,0.953822169,0.0
r_4041,0.293,0.4185394524130211
