,SOL3_maximum,SOL3_minimum,SOL3_real_flux
r_0534,12.200311135345345,12.199786094427461,12.2
r_0962,-18.46527346157866,-18.46422015069982,-21.93422092
r_0961,0.766119062586319,0.7653012235544064,17.1263185
r_0718,0.0011000856922325775,0.0,0.599415908
r_2131,0.3356003344188674,0.33064994836723605,1.687167153
r_0713,1000.0,0.45114504399026867,0.512437725
r_0300,-0.4526464538542869,-0.45222707688548347,-1.687167153
r_1022,-0.00042781110147804835,-0.0,-1.310960316
r_0454,-9.196747212367095,-0.0,1.111853633
r_0366,18.699962808434776,18.69890949764925,21.10426044
r_1054,-10.253472356640913,-10.251932236555243,-11.14159079
r_0486,20.59522559425578,20.593685474108543,21.10426044
r_0450,10.257553402695345,-0.00042781113672241133,11.14159079
r_0452,-0.16706983768795602,-0.1655708197712329,-0.219017351
r_0302,1000.0,-999.5476702484495,0.0
r_0892,-20.595225594158364,-20.593685474046847,1.687167153
r_0893,-18.699962808547088,-18.69890949765639,-21.10426044
r_0889,0.5900605059209632,0.5854401453398417,-21.10426044
r_1049,-0.19047551490358536,-0.1889353949032806,0.640285174
r_1048,0.19047551490358536,-10.068618007625766,-0.205394262
r_1050,0.07313084143011246,0.07159072142980794,0.205394262
r_0466,0.5900605058332028,0.5854401459912342,0.640285174
r_0467,10.355912806035237,10.35129244600262,10.83769112
r_0886,10.257553402695146,0.0,11.14159079
r_0959,16.05301493621198,16.05125183607272,17.12616286
r_2115,1000.0,0.0,15.96430348
r_2116,0.0006696174298592043,0.0,1.161859377
r_0112,0.10746072657385564,0.10629795792541255,0.533105091
r_2034,1.207924111805978,0.0,1.965874193
r_1239,0.0011847076397131229,0.0,1.677203585
r_4041,0.44398287352806953,0.44398287352806953,0.3557
