,SOL3_real_flux,SOL3_sim_flux
r_0534,12.2,13.259646930235354
r_0962,-21.93422092,-19.61540168737513
r_0961,17.1263185,0.9080311836652863
r_0718,0.599415908,0.04104304539961795
r_2131,1.687167153,0.3951135283401709
r_0713,0.512437725,0.5263745478977311
r_0300,-1.687167153,-0.5263745478977311
r_1022,-1.310960316,-1.6569482108037897e-06
r_0454,1.111853633,-0.0
r_0366,21.10426044,19.642648741644088
r_1054,-11.14159079,-10.537746360553255
r_0486,21.10426044,21.325931987544408
r_0450,11.14159079,11.96861112732359
r_0452,-0.219017351,-0.3300715036901066
r_0302,0.0,0.3951135283401709
r_0892,1.687167153,-21.325931987544408
r_0893,-21.10426044,-19.642648741644088
r_0889,-21.10426044,1.0042034218741789
r_1049,0.640285174,-0.32524236953863794
r_1048,-0.205394262,1.7522278472716168
r_1050,0.205394262,0.23561127489366038
r_0466,0.640285174,1.0042034218741789
r_0467,10.83769112,10.250240353147955
r_0886,11.14159079,13.893046457966756
r_0959,17.12616286,16.891458297310297
r_2115,15.96430348,16.830548008821015
r_2116,1.161859377,0.0
r_0112,0.533105091,0.1301656000795307
r_2034,1.965874193,1.3810081727688481
r_1239,1.677203585,0.0
r_4041,0.3557,0.3335412977451989
